طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,غربی,شرقی,شمالی,جنوبی,code
3,65,2,1,MDF,ايرانی,سراميک,1,0,1,1,1,0,0,1,10334138
2,74,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,1,1,0,0,1,10348264
5,160,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10299165
4,81,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10416155
2,215,4,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10265517
4,211,3,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10266469
5,123,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,0,1,10299750
1,110,2,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,1,0,10300827
2,130,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10416156
2,160,3,1,MDF,ايراني فرنگي,پارکت,1,0,1,0,0,0,1,0,10333608
4,255,3,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,3881362
2,162,2,1,فلزي,ايراني فرنگي,سراميک,0,0,1,0,0,0,1,0,10251605
4,129,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10416157
زیرهمكف,59,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10275641
5,153,3,1,MDF,ايراني فرنگي,سنگ سراميک,1,0,1,1,0,0,1,0,3393525
2,125,2,,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10416159
4,66,2,1,MDF,ايرانی,سراميک,1,0,1,1,1,0,0,0,10416160
4,83,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10257827
4,53,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10334148
4,100,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10274119
1,86,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,1,0,0,1,10332375
3,60,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,0,10335533
10,128,3,1,دلخواه,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,3884917
13,195,3,0,چوبي,ايراني فرنگي,سنگ,1,0,1,1,1,0,0,1,10299679
1,62,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,0,10335375
2,63,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10263256
4,112,2,1,MDF,ايرانی,سراميک,1,0,0,1,0,0,0,1,10251352
2,138,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,1,0,1,1,10203051
3,80,2,1,چوبي,ايراني فرنگي,سراميک,1,0,0,1,0,0,1,1,10276136
4,150,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,3992534
2,89,2,1,چوبي,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10275178
3,104,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10261965
4,77,2,1,MDF,ايرانی,سراميک,1,0,1,1,1,0,0,1,10334939
16,193,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10351003
همكف,73,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10354313
1,113,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10334906
9,111,2,1,چوبي,ايراني فرنگي,سنگ,1,0,1,0,0,0,0,1,10334914
7,115,3,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,1,1,0,0,10256692
14,143,3,1,چوبي,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10164860
2,140,2,1,MDF,ايراني فرنگي,سنگ,1,0,0,0,1,0,0,1,10332579
4,63,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10254101
1,90,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,0,0,0,1,10258000
12,80,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10103883
7,91,2,2,MDF,ايراني فرنگي,لامنيت,1,0,1,0,1,0,1,0,10201465
1,65,2,1,فلزي,ايرانی,سراميک,0,0,1,1,0,0,0,1,10416172
4,85,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405287
2,63,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,0,0,1,0,10260133
1,145,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,1,3976891
10,127,2,1,ندارد,ايراني فرنگي,سراميک,0,0,1,1,0,0,1,0,10334723
5,102,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,1,0,1,3586261
9,89,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,1,0,1,3667473
3,58,1,1,MDF,ايرانی,سنگ,1,0,1,1,0,0,0,1,10183302
2,136,3,2,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,3965070
17,163,3,1,ندارد,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,3838053
5,78,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10129137
3,103,2,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10270949
4,147,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,3842082
1,135,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10218641
1,120,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10275264
4,124,3,1,هایگلاس,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,0,10272630
3,70,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10347648
4,45,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10416174
4,93,2,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,0,0,10350000
4,53,1,1,هایگلاس,فرنگی,سراميک,1,0,1,0,0,0,0,1,3961543
