addres,code,dastresi,tejary,darmany,farhangi_honary,tafrihy,rest,parks
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10416222,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10416222,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10335838,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,10416220,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - نیرو هوایی ,10267636,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هفت تیر ,10272212,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - میدان آرژانتین ,10298234,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10416219,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - یوسف آباد ,10263267,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - توانیر ,10299397,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شاد آباد ,10351556,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10349996,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,3906324,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10416215,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10275789,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10416213,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیرو هوایی ,10133447,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,3286261,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10416211,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10415661,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10267981,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10346375,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10275322,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10275346,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جلفا ,10243418,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10416204,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مفتح(از بهشتی تا هفت تیر) ,10268697,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10416198,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10351218,4.0,4.0,3.0,5.0,2.0,8.0,2.0
