Unnamed: 0,کد ملک,تاریخ,آدرس,زیربنا,طبقه,سن بنا,قیمت واحد,قیمت کل
,10416222,1403/05/24,شهران بلوار كوهسار,75,2,5,104000000,7800000000
,10335838,1403/05/24,تهران نو فلكه چایچی,70,3,20,74285000,5200000000
,10416220,1403/05/24,انتهای همت غرب مروارید شهر خ شهید اردستانی,89,13,0,78651000,7000000000
,10267636,1403/05/24,نیرو هوایی خ 30 متری,70,3,22,77142000,5400000000
,10272212,1403/05/24,هفت تیر نرسیده به بهارشیراز,158,3,30,70000000,11060000000
,10298234,1403/05/24,آرژانتین بیهقی خ شانزدهم,177,2,20,95000000,16815000000
,10416219,1403/05/24,اشرفی اصفهانی باغ فیض امیرابراهیم,84,3,15,79047000,6640000000
,10263267,1403/05/24,یوسف آباد خ چهلستون,94,2 و همكف,22,180851000,17000000000
,10299397,1403/05/24,توانیر خ نظامی گنجوی,72,3,8,175000000,12600000000
,10351556,1403/05/24,هفده شهریور خ سرحدی,71,1,12,50704000,3600000000
,10349996,1403/05/24,پیروزی خ عزیزی,95,1,26,70526000,6700000000
,3906324,1403/05/24,هفده شهریور شمالی خ صفا,72,2,2,75000000,5400000000
,10416215,1403/05/24,جنت آباد بلوار بعثت,100,4,7,135000000,13500000000
,10275789,1403/05/24,پیروزی خ زاهد گیلانی,113,6,2,71000000,8023000000
,10416213,1403/05/24,تهران نو فلكه چایچی,104,1,6,91826000,9550000000
,10133447,1403/05/24,نیرو هوایی خ هشتم,96,1,13,88541000,8500000000
,3286261,1403/05/24,تهران نو خ امامت,76,4,18,57894000,4400000000
,10416211,1403/05/24,بلوارفردوس سازمان برنامه جنوبی,77,5,13,116883000,9000000000
,10415661,1403/05/24,پیروزی خ 21 متری دهقان,43,2,14,72093000,3100000000
,10267981,1403/05/24,پیروزی خ شكوفه خ بیدهندی,90,3,20,50000000,4500000000
,10346375,1403/05/24,تهران نو میدان امامت,100,3,0,115000000,11500000000
,10275322,1403/05/24,پیروزی بلوار ابوذر بین پل اول و دوم,49,4,19,75510000,3700000000
,10275346,1403/05/24,پیروزی خ فیض آبادی,55,1,10,56363000,3100000000
